Date,Year,Quarter,MonthNumber,MonthName
2023-01-01,2023,Q1,1,January
2023-02-01,2023,Q1,2,February
2023-03-01,2023,Q1,3,March
2023-04-01,2023,Q2,4,April
2023-05-01,2023,Q2,5,May
2023-06-01,2023,Q2,6,June
2023-07-01,2023,Q3,7,July
2023-08-01,2023,Q3,8,August
2023-09-01,2023,Q3,9,September
2023-10-01,2023,Q4,10,October
2023-11-01,2023,Q4,11,November
2023-12-01,2023,Q4,12,December
2024-01-01,2024,Q1,1,January
2024-02-01,2024,Q1,2,February
2024-03-01,2024,Q1,3,March
2024-04-01,2024,Q2,4,April
2024-05-01,2024,Q2,5,May
2024-06-01,2024,Q2,6,June
2024-07-01,2024,Q3,7,July
2024-08-01,2024,Q3,8,August
2024-09-01,2024,Q3,9,September
2024-10-01,2024,Q4,10,October
2024-11-01,2024,Q4,11,November
2024-12-01,2024,Q4,12,December
2025-01-01,2025,Q1,1,January
2025-02-01,2025,Q1,2,February
2025-03-01,2025,Q1,3,March
2025-04-01,2025,Q2,4,April
2025-05-01,2025,Q2,5,May
2025-06-01,2025,Q2,6,June
2025-07-01,2025,Q3,7,July
2025-08-01,2025,Q3,8,August
2025-09-01,2025,Q3,9,September
2025-10-01,2025,Q4,10,October
2025-11-01,2025,Q4,11,November
2025-12-01,2025,Q4,12,December
